Fecha,CodigoUnidadGeneracion,IrradiacionPanel,TemperaturaPanel,IrradiacionGlobal,TemperaturaAmbiente
2025-12-14,Uns21219,,,,
2025-12-14,Uns19573,539.89,49.56,442.26,31.9
2025-12-14,Uns07303,512.76,36.73,354.4,30.01
2025-12-14,Uns19731,405.77,,379.78,0
2025-12-14,Uns19464,426.84,38.07,379.27,22.25
2025-12-14,Uns18125,288.49,37.01,285.03,29.8
2025-12-14,Uns19462,58.87,37.31,388.7,22.65
2025-12-14,Uns07301,600.82,7.22,528.4,30.65
2025-12-14,Uns09143,0.92,11.72,0.91,1.49
2025-12-14,Uns15904,,38.1,,30.16
2025-12-14,Uns09144,223.53,31.44,210.62,27.35
2025-12-14,Uns07299,,,,
2025-12-14,Uns07297,543.5,43.48,432.4,29.56
2025-12-14,Uns15902,386.07,38.59,323.49,29.08
2025-12-14,Uns18126,305.63,37.56,296.37,29.4
2025-12-14,Uns20466,,,,
2025-12-14,Uns18120,327.13,38.05,314.74,30.09
2025-12-14,Uns51562,20,26.79,118,25.75
2025-12-14,Uns15163,383.38,32.64,347.49,25.07
2025-12-14,Uns10125,,,,
2025-12-14,Uns10520,317.34,45.13,292.25,27.68
2025-12-14,Uns19733,424.9,,,
2025-12-14,Uns10127,699.78,,100.48,
2025-12-14,Uns11013,267.52,36.41,245.63,26.98
2025-12-14,Uns15166,260.37,21.5,211,14.8
2025-12-14,Uns17651,538.13,43.8,508.75,30.61
2025-12-14,Uns10522,288.83,51.55,268.69,27.61
2025-12-14,Uns10524,,,,
2025-12-14,Uns07300,731.7,41.31,535.27,30.49
2025-12-14,Uns18122,318.07,37.46,303.36,28.01
2025-12-14,Uns16743,429.11,39.8,373.53,30.87
2025-12-14,Uns15923,300.37,14.44,241.31,26.83
2025-12-14,Uns19468,,0,,0
2025-12-14,Uns10865,286.94,36.46,495.26,42.71
2025-12-14,Uns20201,470.15,18.86,387.52,12.07
2025-12-14,Uns18128,288.58,37.67,275.08,29
2025-12-14,Uns10100,302.48,34.11,253.32,26.69
2025-12-14,Uns19470,1,41.19,537.27,30.61
2025-12-14,Uns53072,531.4,39.85,476.41,27.15
2025-09-23,Uns10520,362.19,45.23,362.66,27.12
2025-09-23,Uns15902,553.48,46.6,462.1,31
2025-09-23,Uns19733,487.2,29.31,439.53,40.48
2025-09-23,Uns21219,,,,
2025-09-23,Uns19573,731.63,49,573.3,31.63
2025-09-23,Uns20466,,,,
2025-09-23,Uns51562,14,29.89,81,28.12
